City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
Nashville,United States,18,20,17,39,21,17,36,22,18,2021,North America,36.1622767,-86.7742984
Indianapolis,United States,19,12,34,18,7,5,15,30,35,2021,North America,39.7683331,-86.1583502
Jacksonville,United States,20,24,36,27,18,14,27,27,11,2021,North America,30.3321838,-81.655651
San Antonio,United States,21,29,20,20,4,12,17,36,24,2021,North America,29.4246002,-98.4951405
Tucson,United States,22,40,26,48,10,19,16,8,31,2021,North America,32.2228765,-110.9748477
Minneapolis,United States,23,22,29,6,41,29,30,9,48,2021,North America,44.9772995,-93.2654692
Spokane,United States,24,43,31,40,26,40,4,3,36,2021,North America,47.6571934,-117.4235106
Boston,United States,25,37,4,10,43,47,46,10,33,2021,North America,42.3602534,-71.0582912
Sacramento,United States,26,33,22,26,30,41,10,38,8,2021,North America,38.5810606,-121.493895
Albuquerque,United States,27,31,46,34,6,18,7,6,37,2021,North America,35.0841034,-106.650985
Pittsburgh,United States,28,35,7,11,36,13,34,37,32,2021,North America,40.4416941,-79.9900861
Orlando,United States,29,39,27,43,17,22,32,21,12,2021,North America,28.5421109,-81.3790304
Denver,United States,30,14,8,29,27,34,30,32,45,2021,North America,39.7392364,-104.9848623
Anchorage,United States,31,26,40,47,46,15,11,1,49,2021,North America,61.2163129,-149.894852
Houston,United States,32,2,42,21,8,6,41,44,14,2021,North America,29.7589382,-95.3676974
Salt Lake City,United States,33,6,1,22,3,43,28,48,38,2021,North America,40.7596198,-111.8867975
Atlanta,United States,34,10,39,32,29,30,43,35,9,2021,North America,33.7489924,-84.3902644
Washington,United States,35,21,35,24,42,36,38,28,21,2021,North America,38.8950368,-77.0365427
Oakland,United States,36,42,41,4,45,45,33,20,3,2021,North America,37.8044557,-122.2713563
San Francisco,United States,37,5,32,38,47,46,48,40,1,2021,North America,37.7790262,-122.419906
Cleveland,United States,38,46,43,1,28,2,22,24,30,2021,North America,41.4996562,-81.6936813
Honolulu,United States,39,48,10,19,48,48,39,25,6,2021,North America,21.2890997,-157.717299
Baltimore,United States,40,32,49,8,25,11,18,41,23,2021,North America,39.2908816,-76.610759
Phoenix,United States,41,16,28,33,9,25,19,45,46,2021,North America,33.4484367,-112.074141
Miami,United States,42,45,30,41,31,39,45,29,13,2021,North America,25.7741728,-80.19362
Las Vegas,United States,43,25,33,49,16,20,13,43,44,2021,North America,36.1672559,-115.148516
Milwaukee,United States,44,47,45,36,39,23,14,13,43,2021,North America,43.0349931,-87.922497
Chicago,United States,45,27,44,35,38,32,42,33,40,2021,North America,41.8755616,-87.6244212
Philadelphia,United States,46,44,38,28,34,35,37,42,26,2021,North America,39.9527237,-75.1635262
New York,United States,47,36,16,45,49,49,44,46,25,2021,North America,40.7127281,-74.0060152
Los Angeles,United States,48,38,19,46,40,44,49,49,5,2021,North America,34.0536909,-118.242766
Detroit,United States,49,49,48,42,19,1,47,47,41,2021,North America,42.3315509,-83.0466403
Raleigh,United States,1,3,3,7,15,15,15,3,17,2020,North America,35.7803977,-78.6390989
Columbus,United States,2,6,9,12,16,3,4,4,32,2020,North America,39.9622601,-83.0007065
Madison,United States,3,23,1,4,3,24,1,2,41,2020,North America,43.074761,-89.3837613
Charlotte,United States,4,4,11,9,19,13,23,8,16,2020,North America,35.2272086,-80.8430827
Austin,United States,5,2,4,21,12,26,21,17,19,2020,North America,30.2711286,-97.7436995
San Diego,United States,6,15,6,18,26,35,17,16,2,2020,North America,32.7174202,-117.1627728
Kansas City,United States,7,10,34,3,14,2,5,14,26,2020,North America,39.100105,-94.5781416
Dallas,United States,8,1,22,33,13,9,20,30,20,2020,North America,32.7762719,-96.7968559
Seattle,United States,9,11,16,11,37,36,36,10,7,2020,North America,47.6038321,-122.3300624
Tampa,United States,10,21,23,29,9,17,22,9,15,2020,North America,27.9477595,-82.458444
Jacksonville,United States,11,26,32,10,28,6,19,13,11,2020,North America,30.3321838,-81.655651
Portland,United States,12,34,19,13,32,32,16,11,10,2020,North America,45.5202471,-122.6741949
San Jose,United States,13,5,10,19,33,38,28,34,4,2020,North America,37.3361905,-121.890583
Cincinnati,United States,14,12,21,26,1,8,2,28,28,2020,North America,39.1014537,-84.5124602
San Antonio,United States,15,28,17,14,7,11,12,22,23,2020,North America,29.4246002,-98.4951405
